City_or_County,Day,Incident_Date,Incident_ID,Incident_Time,Latitude,Longitude,Month,State_Name,Total_Victims,US_Region,Victims_Injured,Victims_Killed,Year,State_Political_Color,State_PopEstimate,City_PopEstimate
Philadelphia,4,2016-11-04,693307,,39.9403,-75.2251,11,Pennsylvania,4,Northeast,4,0,2016,PURPLE,12782275,1576051
Chicago,3,2016-11-03,692020,,41.7935,-87.5804,11,Illinois,4,Midwest,2,2,2016,BLUE,12820527,2716723
Essex,3,2016-11-03,692315,,40.7788,-74.2272,11,New Jersey,4,Northeast,2,2,2016,BLUE,8870827,792689
Little Rock,2,2016-11-02,692025,,34.7279,-92.2659,11,Arkansas,5,South,4,1,2016,RED,2989918,198631
Memphis,1,2016-11-01,691113,,35.0063,-89.9592,11,Tennessee,6,South,5,1,2016,RED,6646010,652548
Shreveport,31,2016-10-31,689518,,32.4437,-93.7695,10,Louisiana,4,South,4,0,2016,RED,4678135,194672
Toledo,30,2016-10-30,688979,,41.6478,-83.5771,10,Ohio,4,Midwest,4,0,2016,PURPLE,11634370,278897
Capitol Heights,30,2016-10-30,689020,,38.8701,-76.8896,10,Maryland,6,South,3,3,2016,BLUE,6003323,4515
New York,30,2016-10-30,688841,,40.7197,-73.9829,10,New York,4,Northeast,4,0,2016,BLUE,19633428,8469153
Newburgh,30,2016-10-30,688577,,41.502,-74.0104,10,New York,7,Northeast,5,2,2016,BLUE,19633428,28264
San Antonio,30,2016-10-30,688592,,29.4646,-98.6069,10,Texas,5,South,5,0,2016,RED,27914410,1487843
Los Angeles,29,2016-10-29,689009,,33.9374,-118.219,10,California,5,West,5,0,2016,BLUE,39167117,3963226
Dayton,29,2016-10-29,687940,,39.7772,-84.2521,10,Ohio,4,Midwest,3,1,2016,PURPLE,11634370,140849
Riverside,29,2016-10-29,688210,,33.9366,-117.406,10,California,4,West,4,0,2016,BLUE,39167117,323684
Jackson,28,2016-10-28,688429,,32.3339,-90.1861,10,Mississippi,6,South,6,0,2016,RED,2987938,169022
Miami Gardens,28,2016-10-28,687375,,25.9322,-80.2448,10,Florida,4,South,4,0,2016,PURPLE,20613477,111884
Jackson,27,2016-10-27,686312,,33.384,-83.9905,10,Georgia,4,South,0,4,2016,PURPLE,10301890,5002
Dayton,25,2016-10-25,685379,,39.7995,-84.2076,10,Ohio,4,Midwest,3,1,2016,PURPLE,11634370,140849
Roanoke,25,2016-10-25,684130,,37.2732,-79.9306,10,Virginia,4,South,3,1,2016,BLUE,8410106,99337
Wellston,23,2016-10-23,683142,,35.6755,-97.1058,10,Oklahoma,5,South,4,1,2016,RED,3926331,784
Oakland,22,2016-10-22,682298,,37.7639,-122.175,10,California,7,West,7,0,2016,BLUE,39167117,420947
San Francisco,18,2016-10-18,679290,,37.7196,-122.426,10,California,4,West,4,0,2016,BLUE,39167117,871512
Chicago,17,2016-10-17,678438,,41.7721,-87.6725,10,Illinois,5,Midwest,4,1,2016,BLUE,12820527,2716723
Mobile,15,2016-10-15,677293,,30.703,-88.0787,10,Alabama,5,South,5,0,2016,RED,4863525,191472
Rockford,15,2016-10-15,676686,,42.271,-88.9649,10,Illinois,6,Midwest,5,1,2016,BLUE,12820527,147796
Los Angeles,15,2016-10-15,676663,12:30 AM,34.0274,-118.351,10,California,15,West,11,4,2016,BLUE,39167117,3963226
Chicago,14,2016-10-14,676376,,41.8839,-87.7086,10,Illinois,7,Midwest,6,1,2016,BLUE,12820527,2716723
Chicago,13,2016-10-13,675993,,41.8723,-87.6937,10,Illinois,4,Midwest,4,0,2016,BLUE,12820527,2716723
